order_id,customer_id,order_date,status,amount
1001,1,2024-01-05,completed,1200.00
1002,2,2024-01-08,completed,850.50
1003,3,2024-01-12,completed,320.00
1004,1,2024-01-20,returned,450.00
1005,4,2024-02-02,completed,610.75
1006,5,2024-02-10,completed,2400.00
1007,6,2024-02-14,completed,1980.25
1008,7,2024-02-21,cancelled,150.00
1009,8,2024-03-01,completed,275.00
1010,9,2024-03-06,completed,990.00
1011,10,2024-03-11,completed,1340.60
1012,2,2024-03-18,completed,720.00
1013,3,2024-03-25,returned,180.00
1014,5,2024-04-02,completed,3100.00
1015,6,2024-04-09,completed,2250.00
1016,7,2024-04-15,completed,430.00
1017,1,2024-04-22,completed,1580.00
1018,4,2024-05-01,completed,690.00
1019,9,2024-05-07,cancelled,510.00
1020,10,2024-05-13,completed,1125.40
1021,8,2024-05-20,completed,365.00
1022,2,2024-06-03,completed,940.00
1023,5,2024-06-10,completed,2750.00
1024,6,2024-06-17,returned,1200.00
1025,3,2024-06-24,completed,410.00
1026,7,2024-07-01,completed,520.00
1027,1,2024-07-08,completed,1750.00
1028,10,2024-07-15,completed,1490.00
1029,9,2024-07-22,completed,880.00
1030,4,2024-07-29,completed,735.00
